PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
300000,milik sendiri,375,823,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,instalasi pengelolaan limbah,RTHM
500000,milik sendiri,15,107,seng,kayu kualitas rendah,semen,SMA,MCK umum,jamban umum,listrik non PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTM
500000,milik sendiri,642,824,seng,beton,semen,SD,sendiri,jamban sendiri,tidak ada,mata air,gas LPG,sawah,RTHM
1000000,milik sendiri,1200,825,seng,kayu kualitas tinggi,kayu,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
2500000,milik sendiri,643,826,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
258000,milik sendiri,208,21,seng,kayu kualitas rendah,semen,SMA,berkelompok bersama tetangga,jamban bersama tetangga,listrik PLN,mata air,gas LPG,sawah,RTM
2500000,milik sendiri,369,827,seng,beton,keramik,SMP,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTHM
666000,milik sendiri,371,828,seng,beton,tegel,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
100000,milik sendiri,351,222,seng,kayu kualitas rendah,kayu,SMP,tidak ada,jamban umum,listrik non PLN,mata air,gas LPG,lubang ditanah,RTM
5000000,milik sendiri,52,829,seng,kayu kualitas rendah,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,kayu bakar,lubang ditanah,RTM
333000,milik orang lain,102,18,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
5000000,milik sendiri,153,830,seng,beton,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
500000,milik sendiri,49,179,seng,beton,semen,SD,sendiri,sungai,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
1000000,milik sendiri,109,180,seng,kayu kualitas tinggi,kayu,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1500000,milik sendiri,259,22,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban bersama tetangga,tidak ada,mata air,gas LPG,lubang ditanah,RTM
1333000,milik sendiri,18,6,seng,beton,semen,SMP,tidak ada,sungai,tidak ada,mata air,gas LPG,sawah,RTM
333000,milik sendiri,946,181,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
500000,milik sendiri,71,182,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
333000,milik sendiri,1257,183,seng,beton,semen,SMA,tidak ada,jamban umum,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
766000,milik sendiri,92,225,seng,beton,tanah,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
